,Role02,EMO01_Role01,EMO01_Role02,Role01,y
HPRD50.d7.s1_36,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d7.s2_37,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d7.s2_38,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d7.s2_39,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d7.s2_40,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d7.s2_41,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d7.s2_42,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d7.s3_43,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d8.s0_44,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d9.s0_45,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d9.s0_46,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d9.s0_47,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d9.s1_48,-0.14022,-0.30015,-0.21473,-0.26608,0
