sentID,originalAns,trueLabel,passage,Qwen3:8b|EMO01__pred,Qwen3:8b|EMO01 + Few_shot01__pred,Qwen3:8b|EMO01 + Few_shot02__pred,Qwen3:8b|EMO01 + Role01__pred,Qwen3:8b|EMO01 + Role01 + Few_shot01__pred,Qwen3:8b|EMO01 + Role01 + Few_shot02__pred,Qwen3:8b|EMO01 + Role02__pred,Qwen3:8b|EMO01 + Role02 + Few_shot01__pred,Qwen3:8b|EMO01 + Role02 + Few_shot02__pred,Qwen3:8b|EMO02__pred,Qwen3:8b|EMO02 + Few_shot01__pred,Qwen3:8b|EMO02 + Few_shot02__pred,Qwen3:8b|EMO02 + Role01__pred,Qwen3:8b|EMO02 + Role01 + Few_shot01__pred,Qwen3:8b|EMO02 + Role01 + Few_shot02__pred,Qwen3:8b|EMO02 + Role02__pred,Qwen3:8b|EMO02 + Role02 + Few_shot01__pred,Qwen3:8b|EMO02 + Role02 + Few_shot02__pred,Qwen3:8b|Few_shot01__pred,Qwen3:8b|Few_shot02__pred,Qwen3:8b|Role01__pred,Qwen3:8b|Role01 + Few_shot01__pred,Qwen3:8b|Role01 + Few_shot02__pred,Qwen3:8b|Role02__pred,Qwen3:8b|Role02 + Few_shot01__pred,Qwen3:8b|Role02 + Few_shot02__pred,llama3.1:8b|EMO01__pred,llama3.1:8b|EMO01 + Few_shot01__pred,llama3.1:8b|EMO01 + Few_shot02__pred,llama3.1:8b|EMO01 + Role01__pred,llama3.1:8b|EMO01 + Role01 + Few_shot01__pred,llama3.1:8b|EMO01 + Role01 + Few_shot02__pred,llama3.1:8b|EMO01 + Role02__pred,llama3.1:8b|EMO01 + Role02 + Few_shot01__pred,llama3.1:8b|EMO01 + Role02 + Few_shot02__pred,llama3.1:8b|EMO02__pred,llama3.1:8b|EMO02 + Few_shot01__pred,llama3.1:8b|EMO02 + Few_shot02__pred,llama3.1:8b|EMO02 + Role01__pred,llama3.1:8b|EMO02 + Role01 + Few_shot01__pred,llama3.1:8b|EMO02 + Role01 + Few_shot02__pred,llama3.1:8b|EMO02 + Role02__pred,llama3.1:8b|EMO02 + Role02 + Few_shot01__pred,llama3.1:8b|EMO02 + Role02 + Few_shot02__pred,llama3.1:8b|Few_shot01__pred,llama3.1:8b|Few_shot02__pred,llama3.1:8b|Role01__pred,llama3.1:8b|Role01 + Few_shot01__pred,llama3.1:8b|Role01 + Few_shot02__pred,llama3.1:8b|Role02__pred,llama3.1:8b|Role02 + Few_shot01__pred,llama3.1:8b|Role02 + Few_shot02__pred
HPRD50.d42.s4_68,no,0,"Accordingly, PROTEIN1 coactivated the 9-cis-RA-induced transactivations of RXR, in contrast to the inhibitory actions of PROTEIN2 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0
HPRD50.d42.s5_69,no,0,"In addition, coexpression of PROTEIN1 but not PROTEIN2 further stimulated the Bcl3-mediated enhancement of the 9-cis-RA-induced transactivations of RXR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
HPRD50.d6.s0_0,no,0,"Regulation of neutrophil adhesion by pituitary growth hormone accompanies tyrosine phosphorylation of PROTEIN1 p125FAK, and PROTEIN2 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
HPRD50.d6.s1_1,no,0,"These results suggest that pituitary GH modulates neutrophil adhesion through tyrosine phosphorylation of PROTEIN1 p125FAK, and PROTEIN2 and actin polymerization",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1
HPRD50.d6.s2_2,no,0,Pituitary GH triggered the tyrosine phosphorylation of PROTEIN1 ( PROTEIN2 and PROTEIN in neutrophils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
HPRD50.d6.s2_3,no,0,Pituitary GH triggered the tyrosine phosphorylation of PROTEIN1 ( PROTEIN and PROTEIN2 in neutrophils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
HPRD50.d6.s2_4,no,0,Pituitary GH triggered the tyrosine phosphorylation of PROTEIN ( PROTEIN1 and PROTEIN2 in neutrophils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0
HPRD50.d6.s3_5,no,0,"Preincubation with genistein, a tyrosine kinase inhibitor, blocked the GH-stimulated adhesion and PROTEIN1 PROTEIN p125FAK, and PROTEIN2 phosphorylation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
HPRD50.d6.s3_6,no,0,"Preincubation with genistein, a tyrosine kinase inhibitor, blocked the GH-stimulated adhesion and PROTEIN1 PROTEIN2 p125FAK, and PROTEIN phosphorylation",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1
HPRD50.d6.s3_7,no,0,"Preincubation with genistein, a tyrosine kinase inhibitor, blocked the GH-stimulated adhesion and PROTEIN PROTEIN1 p125FAK, and PROTEIN2 phosphorylation",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1
HPRD50.d6.s4_8,yes,1,Immunoprecipitation experiments revealed a physical association of PROTEIN1 with p125FAK via PROTEIN2 in vivo,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
