,EMO01,EMO01_Role01,EMO01_Role02,EMO02_Few_shot01,EMO02_Role01,Role01,Role02,y
HPRD50.d29.s3_277,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d29.s3_278,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d29.s3_279,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d3.s0_17,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,3.75832,-0.14022,1
HPRD50.d3.s1_18,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d3.s2_19,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d3.s2_20,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d3.s2_21,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d30.s0_280,3.67696,-0.30015,-0.21473,3.937,7.13142,3.75832,-0.14022,1
HPRD50.d30.s0_281,3.67696,-0.30015,-0.21473,3.937,-0.14022,3.75832,-0.14022,0
HPRD50.d30.s0_282,3.67696,3.33167,-0.21473,-0.254,-0.14022,3.75832,-0.14022,1
HPRD50.d31.s0_283,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d31.s1_284,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,3.75832,-0.14022,1
HPRD50.d32.s0_285,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d32.s0_286,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d32.s0_287,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d32.s0_288,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d32.s0_289,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d32.s0_290,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d32.s1_291,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d32.s1_292,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d32.s1_293,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d32.s1_294,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d32.s1_295,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d32.s1_296,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d32.s2_297,3.67696,3.33167,-0.21473,3.937,7.13142,-0.26608,-0.14022,0
HPRD50.d32.s3_298,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d32.s3_299,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d32.s3_300,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d32.s3_301,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d32.s3_302,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d32.s3_303,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d32.s4_304,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d32.s5_305,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d32.s6_306,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d32.s6_307,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d32.s6_308,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d32.s6_309,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d32.s6_310,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d32.s6_311,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d32.s6_312,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d32.s6_313,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d32.s6_314,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d32.s6_315,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d32.s6_316,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d32.s6_317,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d32.s6_318,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d32.s6_319,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d32.s6_320,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d32.s6_321,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d32.s6_322,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d32.s6_323,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d32.s6_324,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d32.s6_325,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d32.s6_326,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d33.s0_327,3.67696,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d33.s0_328,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d33.s0_329,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d33.s1_330,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d33.s1_331,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d33.s1_332,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,3.75832,-0.14022,0
HPRD50.d34.s0_333,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d34.s1_334,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d34.s1_335,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d34.s1_336,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d35.s0_337,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d35.s1_338,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d38.s0_339,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d38.s0_340,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d38.s0_341,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d38.s0_342,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d38.s0_343,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d38.s0_344,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d38.s0_345,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d38.s0_346,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d38.s0_347,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d38.s0_348,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d38.s0_349,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d38.s0_350,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d38.s0_351,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d38.s0_352,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d38.s0_353,-0.27196,3.33167,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d38.s1_354,-0.27196,-0.30015,-0.21473,3.937,-0.14022,-0.26608,-0.14022,0
HPRD50.d38.s1_355,-0.27196,-0.30015,-0.21473,3.937,-0.14022,-0.26608,-0.14022,0
HPRD50.d38.s1_356,-0.27196,-0.30015,-0.21473,3.937,-0.14022,-0.26608,-0.14022,0
HPRD50.d39.s0_357,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d39.s0_358,3.67696,-0.30015,4.65698,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d39.s0_359,-0.27196,-0.30015,4.65698,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d39.s1_360,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d4.s0_22,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d4.s1_23,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d4.s1_24,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d4.s1_25,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d4.s1_26,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d4.s1_27,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d4.s1_28,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d40.s0_361,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d40.s1_362,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d5.s0_29,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d5.s1_30,3.67696,3.33167,-0.21473,3.937,-0.14022,3.75832,-0.14022,1
HPRD50.d5.s2_31,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d5.s3_32,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d5.s4_33,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d5.s5_34,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d7.s0_35,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d7.s1_36,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d7.s2_37,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d7.s2_38,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d7.s2_39,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d7.s2_40,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d7.s2_41,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d7.s2_42,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d7.s3_43,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d8.s0_44,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d9.s0_45,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d9.s0_46,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d9.s0_47,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d9.s1_48,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
